label,area,eccentricity,solidity,mean_intensity,perimeter,equivalent_diameter,extent,orientation
1,183.0,0.5336006817923334,0.9581151832460733,159.04371584699453,48.2842712474619,15.26443044094783,0.7176470588235294,-1.2889616856215858
2,666.0,0.9455844182736974,0.8516624040920716,213.23573573573574,128.36753236814712,29.120053859730724,0.5034013605442177,0.38496763921384575
3,56.0,0.7426544681406195,0.9824561403508771,178.28571428571428,26.627416997969522,8.444016491289505,0.5656565656565656,0.9408973037002187
4,76.0,0.6458483477861124,0.987012987012987,165.3815789473684,29.556349186104047,9.83698151873187,0.7676767676767676,-0.48933093803538524
5,229.0,0.723543835325545,0.9581589958158996,152.1703056768559,56.526911934581186,17.075475271404667,0.726984126984127,-1.364263871463854
6,74.0,0.4937292411762707,0.9866666666666667,169.82432432432432,28.970562748477143,9.706684619910241,0.7474747474747475,-1.529244093541526
7,79.0,0.6464649214362834,0.9753086419753086,169.39240506329114,30.14213562373095,10.02925341359355,0.797979797979798,1.2357353080816484
8,164.0,0.5640228706088997,0.9704142011834319,160.1890243902439,45.45584412271571,14.450303987687134,0.7420814479638009,0.27317984138994406
9,146.0,0.5440094188165818,0.954248366013072,197.94520547945206,42.62741699796952,13.63425735166143,0.7487179487179487,-0.09757914829694629
10,156.0,0.6162557059635775,0.9512195121951219,196.39743589743588,45.45584412271571,14.093451279891855,0.75,0.24957061984282491
11,193.0,0.880740455018782,0.9278846153846154,167.2538860103627,56.18376618407356,15.67594437773643,0.5676470588235294,0.9558035806071947
12,448.0,0.4050043737689931,0.9824561403508771,192.03794642857142,75.59797974644665,23.883285285767386,0.7791304347826087,-1.566616071850965
13,262.0,0.24523594815961108,0.9632352941176471,155.7290076335878,57.94112549695428,18.26441241104166,0.7257617728531855,-0.1370504003012952
14,55.0,0.7289671250706741,0.9821428571428571,153.47272727272727,25.79898987322333,8.368283871884005,0.6111111111111112,-0.8026459200988315
