image_id,split,image,mask,height,width,mean_intensity,std_intensity,density,true_n_objects,area_fraction
train_000,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_000.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_000.png,256,256,17.730880737304688,27.275008051370566,sparse,10,0.0193328857421875
train_001,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_001.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_001.png,256,256,27.02288818359375,52.5050589411373,normal,29,0.0860443115234375
train_002,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_002.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_002.png,256,256,15.26190185546875,36.26177507699407,normal,17,0.040679931640625
train_003,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_003.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_003.png,256,256,32.36967468261719,53.59012334147971,normal,36,0.1015167236328125
train_004,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_004.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_004.png,256,256,52.41804504394531,76.01888600845983,dense,85,0.202789306640625
train_005,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_005.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_005.png,256,256,26.971328735351562,56.31663630111497,clustered,52,0.1045074462890625
train_006,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_006.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_006.png,256,256,14.849624633789062,24.801780418587978,sparse,5,0.0138397216796875
train_007,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_007.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_007.png,256,256,16.779098510742188,39.51750606581754,normal,19,0.049591064453125
train_008,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_008.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_008.png,256,256,16.190811157226562,34.96369116828295,normal,16,0.045654296875
train_009,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_009.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_009.png,256,256,23.785110473632812,45.37523181711889,normal,21,0.0624542236328125
train_010,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_010.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_010.png,256,256,42.588897705078125,65.59050875620078,dense,59,0.1543426513671875
train_011,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_011.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_011.png,256,256,30.725265502929688,52.6306178928137,clustered,35,0.0822296142578125
train_012,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_012.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_012.png,256,256,20.121170043945312,40.02433166302002,sparse,12,0.0455322265625
train_013,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_013.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_013.png,256,256,30.583297729492188,56.21531445749163,normal,31,0.0860595703125
train_014,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_014.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_014.png,256,256,33.09954833984375,56.02563333307509,normal,35,0.104583740234375
train_015,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_015.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_015.png,256,256,26.307861328125,54.417302458426434,normal,38,0.0970306396484375
train_016,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_016.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_016.png,256,256,33.4215087890625,60.975696442591804,dense,46,0.1316680908203125
train_017,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_017.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_017.png,256,256,28.820709228515625,56.979938300556945,clustered,42,0.091400146484375
train_018,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_018.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_018.png,256,256,18.540863037109375,26.794466389334037,sparse,7,0.0229949951171875
train_019,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_019.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_019.png,256,256,25.318389892578125,53.53451971365772,normal,33,0.084625244140625
train_020,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_020.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_020.png,256,256,25.316253662109375,44.0320666812138,normal,22,0.0645599365234375
train_021,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_021.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_021.png,256,256,17.634307861328125,36.21383226997224,normal,15,0.0353851318359375
train_022,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_022.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_022.png,256,256,38.46907043457031,67.53702499567389,dense,50,0.144866943359375
train_023,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_023.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_023.png,256,256,33.52288818359375,57.2429642221443,clustered,53,0.1005096435546875
train_024,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_024.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_024.png,256,256,15.56719970703125,27.47886262977304,sparse,9,0.025787353515625
train_025,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_025.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_025.png,256,256,21.226776123046875,45.13117877844332,normal,22,0.060546875
train_026,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_026.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_026.png,256,256,28.0250244140625,50.9392010116613,normal,30,0.080108642578125
train_027,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_027.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_027.png,256,256,27.026275634765625,49.077747984078016,normal,28,0.06781005859375
train_028,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_028.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_028.png,256,256,37.262115478515625,63.74331682429956,dense,51,0.135833740234375
train_029,train,/content/biomed-pipeline/data/nuclei_dataset/train/images/train_029.png,/content/biomed-pipeline/data/nuclei_dataset/train/masks/train_029.png,256,256,27.56976318359375,55.20759813325641,clustered,35,0.0946044921875
