image_id,split,density,true_n_objects,otsu_threshold,n_objects,mean_area,median_area,std_area,coverage_pct,mean_eccentricity,mean_solidity,mean_intensity,count_error,count_pct_error
train_000,train,sparse,10,101.0,9,139.89,115.0,56.92,1.92,0.509,0.964,191.22,-1,-10.0
train_001,train,normal,29,100.0,23,241.3,178.0,184.65,8.47,0.604,0.94,179.97,-6,-20.689655172413794
train_002,train,normal,17,93.0,15,177.0,176.0,69.81,4.05,0.628,0.972,178.72,-2,-11.764705882352942
train_003,train,normal,36,98.0,27,244.81,189.0,152.64,10.09,0.642,0.953,183.18,-9,-25.0
train_004,train,dense,85,105.0,39,340.38,223.0,358.53,20.26,0.722,0.909,190.62,-46,-54.11764705882353
train_005,train,clustered,52,96.0,14,491.07,226.0,683.72,10.49,0.598,0.913,174.58,-38,-73.07692307692308
train_006,train,sparse,5,106.0,5,179.4,160.0,61.12,1.37,0.667,0.97,193.24,0,0.0
train_007,train,normal,19,93.0,16,201.75,191.0,111.16,4.93,0.674,0.952,176.36,-3,-15.789473684210526
train_008,train,normal,16,85.0,12,248.75,227.5,162.98,4.55,0.651,0.931,159.17,-4,-25.0
train_009,train,normal,21,100.0,20,201.8,188.0,90.3,6.16,0.627,0.971,185.82,-1,-4.761904761904762
train_010,train,dense,59,101.0,32,313.91,220.5,318.47,15.33,0.693,0.924,182.31,-27,-45.76271186440678
train_011,train,clustered,35,106.0,16,336.31,199.5,308.34,8.21,0.686,0.928,186.94,-19,-54.285714285714285
train_012,train,sparse,12,101.0,10,300.6,264.5,104.29,4.59,0.624,0.953,190.69,-2,-16.666666666666668
train_013,train,normal,31,109.0,25,223.84,133.0,183.97,8.54,0.637,0.959,198.63,-6,-19.35483870967742
train_014,train,normal,35,100.0,28,244.71,198.0,187.24,10.46,0.635,0.944,187.62,-7,-20.0
train_015,train,normal,38,96.0,30,210.6,164.0,165.7,9.64,0.677,0.949,178.48,-8,-21.05263157894737
train_016,train,dense,46,96.0,30,287.9,181.0,304.2,13.18,0.638,0.946,174.96,-16,-34.78260869565217
train_017,train,clustered,42,105.0,15,400.33,310.0,298.59,9.16,0.68,0.918,195.74,-27,-64.28571428571429
train_018,train,sparse,7,92.0,7,216.0,204.0,114.03,2.31,0.6,0.977,167.91,0,0.0
train_019,train,normal,33,100.0,25,221.64,187.0,159.01,8.45,0.667,0.948,190.78,-8,-24.242424242424242
train_020,train,normal,22,98.0,17,245.65,209.0,186.05,6.37,0.613,0.955,178.55,-5,-22.727272727272727
train_021,train,normal,15,101.0,15,152.67,120.0,82.71,3.49,0.602,0.977,189.42,0,0.0
train_022,train,dense,50,103.0,28,340.04,284.0,234.37,14.53,0.673,0.929,189.7,-22,-44.0
train_023,train,clustered,53,105.0,12,557.58,289.5,899.16,10.21,0.688,0.912,191.57,-41,-77.35849056603773
train_024,train,sparse,9,87.0,8,212.25,242.5,91.69,2.59,0.537,0.972,172.81,-1,-11.11111111111111
train_025,train,normal,22,98.0,17,234.06,204.0,184.68,6.07,0.678,0.942,186.04,-5,-22.727272727272727
train_026,train,normal,30,101.0,23,227.83,174.0,153.06,8.0,0.695,0.949,187.35,-7,-23.333333333333332
train_027,train,normal,28,106.0,22,201.23,158.5,118.85,6.76,0.583,0.958,196.62,-6,-21.428571428571427
train_028,train,dense,51,101.0,34,259.82,192.5,210.93,13.48,0.657,0.94,185.76,-17,-33.333333333333336
train_029,train,clustered,35,99.0,19,326.74,201.0,308.89,9.47,0.647,0.93,180.47,-16,-45.714285714285715
train_030,train,sparse,8,99.0,8,219.5,204.0,124.32,2.68,0.495,0.978,183.16,0,0.0
train_031,train,normal,30,98.0,24,208.21,179.0,121.58,7.62,0.645,0.949,184.15,-6,-20.0
train_032,train,normal,18,98.0,14,190.36,172.5,78.82,4.07,0.694,0.945,183.71,-4,-22.22222222222222
train_033,train,normal,29,101.0,22,183.09,154.5,95.81,6.15,0.69,0.951,187.64,-7,-24.137931034482758
train_034,train,dense,76,101.0,34,355.76,278.5,254.95,18.46,0.727,0.902,180.52,-42,-55.26315789473684
train_035,train,clustered,52,105.0,10,693.0,271.5,1190.12,10.57,0.662,0.916,184.63,-42,-80.76923076923077
train_036,train,sparse,11,87.0,11,186.73,194.0,54.91,3.13,0.581,0.969,165.02,0,0.0
train_037,train,normal,27,90.0,21,213.33,170.0,145.06,6.84,0.726,0.942,165.87,-6,-22.22222222222222
train_038,train,normal,32,98.0,25,238.16,203.0,144.11,9.09,0.635,0.955,180.36,-7,-21.875
train_039,train,normal,35,101.0,27,255.3,238.0,149.41,10.52,0.597,0.958,188.59,-8,-22.857142857142858
train_040,train,dense,82,101.0,46,278.35,206.0,237.85,19.54,0.661,0.924,183.64,-36,-43.90243902439025
train_041,train,clustered,45,108.0,23,286.17,270.0,231.16,10.04,0.635,0.941,199.07,-22,-48.888888888888886
train_042,train,sparse,8,93.0,8,146.88,138.0,59.82,1.79,0.597,0.973,176.24,0,0.0
train_043,train,normal,25,101.0,21,229.57,192.0,163.75,7.36,0.56,0.958,190.38,-4,-16.0
train_044,train,normal,16,97.0,16,208.94,241.0,75.32,5.1,0.578,0.974,183.06,0,0.0
train_045,train,normal,21,93.0,16,251.31,225.0,123.85,6.14,0.669,0.953,170.77,-5,-23.80952380952381
train_046,train,dense,84,107.0,34,390.59,181.5,487.36,20.26,0.692,0.911,190.33,-50,-59.523809523809526
train_047,train,clustered,53,105.0,11,651.45,360.0,716.04,10.93,0.747,0.896,190.31,-42,-79.24528301886792
train_048,train,sparse,9,94.0,9,173.67,146.0,94.89,2.38,0.611,0.969,172.95,0,0.0
train_049,train,normal,39,100.0,22,257.68,177.5,266.87,8.65,0.723,0.937,183.98,-17,-43.58974358974359
train_050,train,normal,23,96.0,21,159.24,149.0,94.19,5.1,0.613,0.974,185.23,-2,-8.695652173913043
train_051,train,normal,30,99.0,26,197.31,196.0,101.46,7.83,0.656,0.964,184.05,-4,-13.333333333333334
train_052,train,dense,53,100.0,34,253.82,236.0,188.08,13.17,0.625,0.947,185.84,-19,-35.84905660377358
train_053,train,clustered,37,103.0,19,255.0,148.0,267.67,7.39,0.618,0.954,186.4,-18,-48.648648648648646
train_054,train,sparse,7,98.0,7,222.71,183.0,75.08,2.38,0.43,0.975,191.99,0,0.0
train_055,train,normal,16,100.0,11,239.64,212.0,129.14,4.02,0.598,0.955,183.1,-5,-31.25
train_056,train,normal,19,90.0,17,192.35,174.0,76.75,4.99,0.622,0.959,172.55,-2,-10.526315789473685
train_057,train,normal,27,97.0,22,187.36,163.5,113.75,6.29,0.678,0.963,183.06,-5,-18.51851851851852
train_058,train,dense,55,102.0,29,310.14,208.0,217.2,13.72,0.697,0.911,181.5,-26,-47.27272727272727
