image_id,density,true_n,otsu_dice,otsu_iou,unet_dice,unet_iou,method_agreement_iou,otsu_n,unet_n,unet_minus_otsu_dice
val_000,sparse,5,0.9760247486465584,0.9531722054380665,0.996875,0.9937694704049844,0.9591527987897126,5,5,0.02085025135344154
val_001,normal,31,0.969284823756092,0.9404002639102705,0.9955056179775281,0.9910514541387024,0.9405440982887231,24,26,0.026220794221436083
val_002,normal,17,0.9797454740993009,0.9602951510892481,0.9974937343358395,0.995,0.958904109589041,16,16,0.017748260236538638
val_003,normal,36,0.9730652222304668,0.9475433526011561,0.995864106351551,0.9917622830244189,0.9493067590987868,27,28,0.022798884121084217
val_004,dense,81,0.966679462571977,0.9355078386209971,0.9957928555037099,0.9916209628275442,0.9394029628526762,39,45,0.029113392931732873
val_005,clustered,48,0.966792343387471,0.9357192982456141,0.9951240812167964,0.9902954808806489,0.9355427608481954,15,18,0.02833173782932541
val_006,sparse,9,0.9707903780068728,0.9432387312186978,0.9934528892684316,0.9869909502262444,0.9483333333333334,8,8,0.022662511261558715
val_007,normal,29,0.9735863823126589,0.9485322150209684,0.9960891669925694,0.9922088040514219,0.9515544535571238,19,21,0.022502784679910515
val_008,normal,25,0.9799273561460524,0.9606446776611695,0.997625605470605,0.9952624597309078,0.9623313343328336,21,21,0.01769824932455255
val_009,normal,20,0.9722765818656229,0.9460488733735322,0.9959435339931851,0.9919198448610214,0.9445324881141046,20,20,0.023666952127562202
val_010,dense,64,0.9682073203312851,0.9383738995339203,0.9962443797937054,0.9925168634064081,0.9393939393939394,43,44,0.0280370594624203
val_011,clustered,32,0.9792892445281243,0.9594189531934517,0.9963865252360415,0.9927990708478514,0.9619025629184945,14,14,0.017097280707917273
val_012,sparse,8,0.9734582357533177,0.9482889733840304,0.9952830188679245,0.9906103286384976,0.9454958364875095,8,8,0.021824783114606783
val_013,normal,27,0.9712611292685676,0.944127957931639,0.9967485144074448,0.9935181046043808,0.9457211643685708,24,26,0.025487385138877272
val_014,normal,21,0.975500059178601,0.9521719038817006,0.9962121212121212,0.9924528301886792,0.9509329647546648,16,17,0.020712062033520162
val_015,normal,26,0.9743539353444041,0.9499904196206169,0.9962781586679725,0.992583918813427,0.9493985105976704,21,23,0.02192422332356847
val_016,dense,62,0.9753005021047827,0.9517917244110077,0.9957081545064378,0.9914529914529915,0.9522022516294687,36,37,0.020407652401655096
val_017,clustered,49,0.9757496313288546,0.952647576387778,0.9951282884053264,0.9903038138332256,0.9542180246518329,19,19,0.019378657076471795
val_018,sparse,7,0.9747829681686647,0.9508064516129032,0.9971134020618557,0.9942434210526315,0.9517296862429606,7,7,0.022330433893191004
val_019,normal,19,0.9708621207569841,0.9433741973146527,0.9976162097735399,0.995243757431629,0.9450292397660819,18,19,0.02675408901655585
